organoid_id,region_id,time_idx,condition,burden,burden_norm,delta_burden,pathology_z,target_positive
control_pseudo_0,cDpMe,2,control,4.50317e-05,0.0010027111144693766,-0.04998506121383752,-0.6093100623470663,0
control_pseudo_0,cEct,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cEct,1,control,0.003203925,0.09369400325060022,0.09369400325060022,-0.21995815970580057,1
control_pseudo_0,cEct,2,control,0.00316354,0.09251300421932591,-0.0011809990312743046,-0.22491897327574004,1
control_pseudo_0,cEn,0,control,0.000336381,0.009215999868239485,0.0,-0.5748099541974682,0
control_pseudo_0,cEn,1,control,0.000760925,0.020847445901344394,0.01163144603310491,-0.5259517978475978,0
control_pseudo_0,cEn,2,control,0.000369541,0.010124501108294128,-0.010722944793050266,-0.5709937738614801,0
control_pseudo_0,cEnt,0,control,7.8224e-05,0.008955772742348682,0.0,-0.5759030442197288,0
control_pseudo_0,cEnt,1,control,0.005214703,0.5970251455671391,0.5880693728247904,1.8942958700225898,1
control_pseudo_0,cEnt,2,control,2.97424e-05,0.003405172008744521,-0.5936199735583946,-0.5992184701526939,0
control_pseudo_0,cHipp,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cHipp,1,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cHipp,2,control,7.26229e-05,0.030951949664408538,0.030951949664408538,-0.4835075975917971,0
control_pseudo_0,cIC,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cIC,1,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cIC,2,control,0.0006799,0.15629004799585078,0.15629004799585078,0.042977964688575,1
control_pseudo_0,cIns,0,control,0.00052323,0.005521866689122357,0.0,-0.5903272455066356,0
control_pseudo_0,cIns,1,control,0.00853554,0.09007915065969352,0.08455728397057116,-0.23514243108234137,1
control_pseudo_0,cIns,2,control,0.028190735,0.2975087065695311,0.20742955590983758,0.636170185197897,1
control_pseudo_0,cLDThal,0,control,0.004778925,0.02005792504027153,0.0,-0.5292681983675325,0
control_pseudo_0,cLDThal,1,control,0.0,0.0,-0.02005792504027153,-0.6135219734254534,0
control_pseudo_0,cLDThal,2,control,0.02427902,0.10190299349984636,0.10190299349984636,-0.18547610752323404,1
control_pseudo_0,cLEnt,0,control,0.00133946,0.05342347192926818,0.0,-0.389115451928114,1
control_pseudo_0,cLEnt,1,control,0.021996245,0.8773056136852206,0.8238821417559524,3.0716204171298784,1
control_pseudo_0,cLEnt,2,control,0.00941404,0.37547272907067614,-0.5018328846145446,0.9636598533083148,1
control_pseudo_0,cLS,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cLS,1,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cLS,2,control,0.000143616,0.02075032382347858,0.02075032382347858,-0.5263597613675149,0
control_pseudo_0,cM,0,control,0.000579573,0.019514423210173586,0.0,-0.5315511902943995,0
control_pseudo_0,cM,1,control,0.011261654,0.42667849426658944,0.40716407105641583,1.1787508467098333,1
control_pseudo_0,cM,2,control,0.014725478,0.5587075138240071,0.13202901955741764,1.7333417773556645,1
control_pseudo_0,cM1,0,control,0.00065187,0.011589622908879089,0.0,-0.5648394960699789,0
control_pseudo_0,cM1,1,control,0.028549363,0.6608476823183685,0.6492580594094894,2.162383902272569,1
control_pseudo_0,cM1,2,control,0.02535658,0.5865420773417633,-0.07430560497660521,1.8502615010435293,1
control_pseudo_0,cM2,0,control,0.001134105,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cM2,1,control,0.084717285,0.5548216334198691,0.5548216334198691,1.7170190474214924,1
control_pseudo_0,cM2,2,control,0.0497127,0.322462670445684,-0.23235896297418512,0.7409898838957246,1
control_pseudo_0,cMDThal,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cMDThal,1,control,0.000132727,0.025140451029631954,0.025140451029631954,-0.5079189311540075,0
control_pseudo_0,cMDThal,2,control,0.0,0.0,-0.025140451029631954,-0.6135219734254534,0
control_pseudo_0,cMO,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cMO,1,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cMO,2,control,0.00882114,0.3809711781854826,0.3809711781854826,0.9867562151680886,1
control_pseudo_0,cMS,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cMS,1,control,0.000832067,0.3839387185397759,0.3839387185397759,0.9992214366196563,1
control_pseudo_0,cMS,2,control,0.0,0.0,-0.3839387185397759,-0.6135219734254534,0
control_pseudo_0,cMamm,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cMamm,1,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cMamm,2,control,0.00074583,0.011211856248810638,0.011211856248810638,-0.5664263136065828,0
control_pseudo_0,cPAG,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cPAG,1,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cPAG,2,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cPMCo,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cPMCo,1,control,0.002739489,0.7846579912031285,0.7846579912031285,2.6824519498739203,1
control_pseudo_0,cPMCo,2,control,0.0,0.0,-0.7846579912031285,-0.6135219734254534,0
control_pseudo_0,cPRh,0,control,0.000976715,0.03792799150980841,0.0,-0.4542045735124426,1
control_pseudo_0,cPRh,1,control,0.005731583,0.2225699731874316,0.1846419816776232,0.32138831355244146,1
control_pseudo_0,cPRh,2,control,0.014010547,0.5440603529829805,0.3214903797955489,1.6718160416547232,1
control_pseudo_0,cPS,0,control,0.000163599,0.05165773069243958,0.0,-0.3965324885697186,1
control_pseudo_0,cPS,1,control,4.70214e-05,0.014847394042637657,-0.03681033664980192,-0.5511551535598341,0
control_pseudo_0,cPS,2,control,0.000546657,0.17261144681285912,0.15776405277022146,0.1115363754812111,1
control_pseudo_0,cPir,0,control,0.000202102,0.0077231479481135274,0.0,-0.581080712993333,0
control_pseudo_0,cPir,1,control,0.000642246,0.024542858937982404,0.016819710989868876,-0.510429130467503,0
control_pseudo_0,cPir,2,control,0.009597834,0.36677267896128807,0.34222982002330565,0.9271150928987855,1
control_pseudo_0,cPnO,0,control,0.000107902,0.005293876060280487,0.0,-0.5912849253822554,0
control_pseudo_0,cPnO,1,control,0.000508075,0.02492711978764998,0.019633243727369493,-0.5088150339382531,0
control_pseudo_0,cPnO,2,control,0.000213986,0.010498557604448297,-0.014428562183201684,-0.5694225409536569,0
control_pseudo_0,cPrL,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cPrL,1,control,0.033225685,0.8336746163962996,0.8336746163962996,2.888347410388013,1
control_pseudo_0,cPrL,2,control,0.00901676,0.2262419551060422,-0.6074326612902574,0.33681255798282056,1
control_pseudo_0,cRSA,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cRSA,1,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cRSA,2,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cRSC,0,control,0.001009814,0.0565232893626232,0.0,-0.3760945975662523,1
control_pseudo_0,cRSC,1,control,0.01786545,0.9999999999440261,0.9434767105814029,3.5870010060972763,1
control_pseudo_0,cRSC,2,control,0.003940268,0.22055240700790898,-0.7794475929361171,0.31291348045217443,1
control_pseudo_0,cRSC-b,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cRSC-b,1,control,0.002389192,0.5448730402920793,0.5448730402920793,1.6752297533719502,1
control_pseudo_0,cRSC-b,2,control,0.00438486,0.9999999997719424,0.45512695947986315,3.587001005374435,1
control_pseudo_0,cS1,0,control,0.005422044,0.13629167488499908,0.0,-0.04102566112132905,1
control_pseudo_0,cS1,1,control,0.003840049,0.09652572163753481,-0.039765953247464264,-0.208063461549279,1
control_pseudo_0,cS1,2,control,0.0313846,0.7889016945631097,0.6923759729255748,2.700277723356797,1
control_pseudo_0,cS1-b,0,control,8.93678e-05,0.0028245999411227055,0.0,-0.6016571764641448,0
control_pseudo_0,cS1-b,1,control,0.000915154,0.028924779781064416,0.02610017983994171,-0.49202277127065713,0
control_pseudo_0,cS1-b,2,control,0.004990951,0.15774630124884254,0.12882152146777812,0.049094989942113997,1
control_pseudo_0,cS2,0,control,0.000163142,0.003946161796263229,0.0,-0.5969460301184073,0
control_pseudo_0,cS2,1,control,0.002264039,0.05476372857418694,0.050817566777923706,-0.38348567309235965,1
control_pseudo_0,cS2,2,control,0.002606361,0.06304398748005068,0.008280258905863737,-0.3487042552799344,1
control_pseudo_0,cSC,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cSC,1,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cSC,2,control,0.000830625,0.4952199533798848,0.4952199533798848,1.4666608207813634,1
control_pseudo_0,cSN,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cSN,1,control,0.001672835,0.18507268661934406,0.18507268661934406,0.16388009964462438,1
control_pseudo_0,cSN,2,control,0.00081321,0.08996880115834305,-0.09510388546100101,-0.23560595669856885,1
control_pseudo_0,cSuC,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cSuC,1,control,0.000885595,0.09229368398611192,0.09229368398611192,-0.2258402329552813,1
control_pseudo_0,cSuC,2,control,0.0,0.0,-0.09229368398611192,-0.6135219734254534,0
control_pseudo_0,cSuM,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cSuM,1,control,0.00083535,0.04738065007673411,0.04738065007673411,-0.41449846398226625,1
control_pseudo_0,cSuM,2,control,0.0,0.0,-0.04738065007673411,-0.6135219734254534,0
control_pseudo_0,cTC,0,control,0.000598715,0.27302181553680854,0.0,0.5333124367121196,1
control_pseudo_0,cTC,1,control,0.0,0.0,-0.27302181553680854,-0.6135219734254534,0
control_pseudo_0,cTC,2,control,8.9441e-05,0.04078625757401717,0.04078625757401717,-0.4421983612274717,1
control_pseudo_0,cTeA,0,control,0.000566702,0.016531633520137947,0.0,-0.5440804669311788,0
control_pseudo_0,cTeA,1,control,0.00290879,0.08485420956171331,0.06832257604157536,-0.25708991623228844,1
control_pseudo_0,cTeA,2,control,0.000509695,0.014868645155737426,-0.06998556440597589,-0.5510658877709131,0
control_pseudo_0,cV,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cV,1,control,0.001678463,0.28985744255137896,0.28985744255137896,0.6040308748654546,1
control_pseudo_0,cV,2,control,0.002009623,0.34704618646489666,0.05718874391351769,0.8442535078576726,1
control_pseudo_0,cV-b,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cV-b,1,control,0.001511542,0.10420334909122221,0.10420334909122221,-0.17581341100004533,1
control_pseudo_0,cV-b,2,control,0.0,0.0,-0.10420334909122221,-0.6135219734254534,0
control_pseudo_0,cVLThal,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cVLThal,1,control,0.000212732,0.10730627114727487,0.10730627114727487,-0.16277951559919865,1
control_pseudo_0,cVLThal,2,control,0.00031284,0.15780274648719264,0.050496475339917773,0.049332089462901525,1
control_pseudo_0,cVMThal,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cVMThal,1,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cVMThal,2,control,0.000188745,0.09696590146926323,0.09696590146926323,-0.2062144760508778,1
control_pseudo_0,cVO,0,control,0.001614945,0.01961013069020398,0.0,-0.531149168825197,0
control_pseudo_0,cVO,1,control,0.019831374,0.2660128653357173,0.2464027346455133,0.5038711803284572,1
control_pseudo_0,cVO,2,control,0.00892255,0.11845573076413866,-0.1475571345715786,-0.11594595426668013,1
control_pseudo_0,cVTA,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cVTA,1,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cVTA,2,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cot,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cot,1,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cot,2,control,0.001276195,0.14649880039184748,0.14649880039184748,0.0018496041274601747,1
control_pseudo_0,iAI,0,control,0.0036289,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iAI,1,control,0.047919275,0.32515012738248433,0.32515012738248433,0.752278608515864,1
control_pseudo_0,iAI,2,control,0.03846413,0.2557368157731367,-0.0694133116093476,0.4607063979997071,1
control_pseudo_0,iAI-b,0,control,0.0007318,0.00667922558215795,0.0,-0.5854657328806125,0
control_pseudo_0,iAI-b,1,control,0.03662232,0.3342562675894708,0.32757704200731286,0.7905291597122076,1
control_pseudo_0,iAI-b,2,control,0.02997409,0.27357708216712867,-0.06067918542234213,0.535644846952672,1
control_pseudo_0,iAIP,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iAIP,1,control,0.15906045,0.4856121104085572,0.4856121104085572,1.426302855594397,1
control_pseudo_0,iAIP,2,control,0.04172342,0.12738174725183163,-0.3582303631567255,-0.07845201689242838,1
control_pseudo_0,iAcb,0,control,1.77164e-05,0.0009721796943831396,0.0,-0.6094383102787431,0
control_pseudo_0,iAcb,1,control,0.00066412,0.03644329427162012,0.035471114577236985,-0.4604410783794355,1
control_pseudo_0,iAcb,2,control,0.008334666,0.4573611481263431,0.42091785385472297,1.3076340393276844,1
control_pseudo_0,iAu,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iAu,1,control,0.02168094,0.31526489172596023,0.31526489172596023,0.7107554489803128,1
control_pseudo_0,iAu,2,control,0.00171469,0.024933492606574563,-0.29033139911938566,-0.5087882647659145,0
control_pseudo_0,iBLA,0,control,0.00850861,0.018283169955803865,0.0,-0.536723097883281,0
control_pseudo_0,iBLA,1,control,0.2468351,0.5651113508089515,0.5468281808531477,1.7602412417695468,1
control_pseudo_0,iBLA,2,control,0.2758133,0.631600377649395,0.06648902684044355,2.0395299269145664,1
control_pseudo_0,iBLP,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iBLP,1,control,0.02729096,0.03177039508451423,0.03177039508451423,-0.4800696987969656,0
control_pseudo_0,iBLP,2,control,0.00575293,0.006697194198868579,-0.02507320088564565,-0.585390255293205,0
control_pseudo_0,iBMA,0,control,0.000584719,0.030028442639576707,0.0,-0.48738681007157103,0
control_pseudo_0,iBMA,1,control,0.002169686,0.11142496070230765,0.08139651806273093,-0.14547886547679484,1
control_pseudo_0,iBMA,2,control,0.0,0.0,-0.11142496070230765,-0.6135219734254534,0
control_pseudo_0,iCA,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iCA,1,control,0.004743207,0.3400727363733917,0.3400727363733917,0.8149613705001115,1
control_pseudo_0,iCA,2,control,0.003538055,0.25366720138707005,-0.08640553498632164,0.4520129352117966,1
control_pseudo_0,iCPu,0,control,0.00889797,0.10938985729723041,0.0,-0.1540273640960052,1
control_pseudo_0,iCPu,1,control,0.019537128,0.246792751027939,0.13740289373070858,0.42313664850506194,1
control_pseudo_0,iCPu,2,control,0.013165601,0.16450557686591036,-0.08228717416202863,0.0774874824981243,1
control_pseudo_0,iCauThal,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iCauThal,1,control,7.84675e-05,0.0008222725919878287,0.0008222725919878287,-0.6100679985071835,0
control_pseudo_0,iCauThal,2,control,0.0304378,0.31896222895347925,0.31813995636149145,0.7262861989684207,1
control_pseudo_0,iCg,0,control,0.000869505,0.009084426696995789,0.0,-0.5753626303267969,0
control_pseudo_0,iCg,1,control,0.04019611,0.41996148935242394,0.41087706265542817,1.1505359132127346,1
control_pseudo_0,iCg,2,control,0.008108317,0.08471418959350988,-0.3352472997589141,-0.25767807332635195,1
control_pseudo_0,iCl,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iCl,1,control,0.0519526,0.41778012162206873,0.41778012162206873,1.1413730279340757,1
control_pseudo_0,iCl,2,control,0.03533335,0.28413537070936046,-0.13364475091270828,0.5799951806012306,1
control_pseudo_0,iDEn,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iDEn,1,control,0.023115197,0.07656802289542726,0.07656802289542726,-0.2918962337385861,1
control_pseudo_0,iDEn,2,control,0.003365755,0.011148908049557128,-0.06541911484587012,-0.5666907289640815,0
control_pseudo_0,iDP,0,control,0.000189454,0.0012997457848250953,0.0,-0.6080623613884523,0
control_pseudo_0,iDP,1,control,0.03842557,0.2636179370031862,0.2623181912183611,0.49381122883278733,1
control_pseudo_0,iDP,2,control,0.0419233,0.28761405122593303,0.023996114222746834,0.5946074580503296,1
control_pseudo_0,iDpMe,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iDpMe,1,control,0.000530419,0.012924208106581809,0.012924208106581809,-0.5592335402785839,0
control_pseudo_0,iDpMe,2,control,3.66607e-05,0.0008932759123126505,-0.01203093219426916,-0.6097697474285201,0
control_pseudo_0,iEct,0,control,0.00054683,0.0076846298618524,0.0,-0.5812425090998091,0
control_pseudo_0,iEct,1,control,0.05419245,0.7615692620319718,0.7538846321701195,2.5854672124170714,1
control_pseudo_0,iEct,2,control,0.010079333,0.14164538039126298,-0.6199238816407089,-0.018537298115411383,1
control_pseudo_0,iEn,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iEn,1,control,0.01997948,0.701577185130897,0.701577185130897,2.3334691147907063,1
control_pseudo_0,iEn,2,control,0.0,0.0,-0.701577185130897,-0.6135219734254534,0
control_pseudo_0,iEnt,0,control,0.00321807,0.11477479324616839,0.0,-0.13140781689796707,1
control_pseudo_0,iEnt,1,control,0.01540448,0.5494119167901059,0.4346371235439375,1.694295408404194,1
control_pseudo_0,iEnt,2,control,0.005889316,0.21004671317322232,-0.3393652036168836,0.26878407208127275,1
control_pseudo_0,iHipp,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iHipp,1,control,0.0010685,0.13004538990248415,0.13004538990248415,-0.06726332472849934,1
control_pseudo_0,iHipp,2,control,0.000467043,0.05684304074518101,-0.07320234915730314,-0.3747514745360089,1
control_pseudo_0,iIC,0,control,0.00281633,0.2754107549501717,0.0,0.5433472316152007,1
control_pseudo_0,iIC,1,control,0.000582955,0.0570075511932115,-0.2184032037569602,-0.37406044461864657,1
control_pseudo_0,iIC,2,control,0.00256008,0.250351899647,0.1933443484537885,0.43808693406780114,1
control_pseudo_0,iIns,0,control,0.000368748,0.0009575166699662784,0.0,-0.609499902649759,0
control_pseudo_0,iIns,1,control,0.1859142,0.4827577252851396,0.4818002086151733,1.4143129452904024,1
control_pseudo_0,iIns,2,control,0.05144115,0.1335756631825415,-0.3491820621025981,-0.05243433069079337,1
control_pseudo_0,iLDThal,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iLDThal,1,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iLDThal,2,control,0.000447844,0.04248149916667593,0.04248149916667593,-0.4350774599612673,1
control_pseudo_0,iLEnt,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iLEnt,1,control,0.0963862,0.999999999989625,0.999999999989625,3.5870010062888156,1
control_pseudo_0,iLEnt,2,control,0.02629594,0.2728185155108011,-0.7271814844788238,0.53245847028109,1
control_pseudo_0,iLS,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iLS,1,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iLS,2,control,0.01200621,0.4399755060238147,0.4399755060238147,1.2346052501581686,1
control_pseudo_0,iM,0,control,0.002045472,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iM,1,control,0.056476843,0.3381794035109296,0.3381794035109296,0.8070083823030089,1
control_pseudo_0,iM,2,control,0.035893978,0.21029908595938404,-0.12788031755154558,0.26984416976901054,1
control_pseudo_0,iM1,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iM1,1,control,0.035277485,0.48105092848246717,0.48105092848246717,1.4071435060989999,1
control_pseudo_0,iM1,2,control,0.0551444,0.7519602040964248,0.27090927561395767,2.5451041437449815,1
control_pseudo_0,iM2,0,control,0.014842145,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iM2,1,control,0.2262382,0.6829600752772935,0.6829600752772935,2.255267517033969,1
control_pseudo_0,iM2,2,control,0.13954775,0.4028880736601278,-0.2800720016171657,1.0788186382542866,1
control_pseudo_0,iMDThal,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iMDThal,1,control,0.016826455,0.3751308106722982,0.3751308106722982,0.9622236172187263,1
control_pseudo_0,iMDThal,2,control,0.013596875,0.30313020427415666,-0.07200060639814154,0.6597834154868327,1
control_pseudo_0,iMO,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iMO,1,control,0.005736093,0.15946207774274465,0.15946207774274465,0.05630214853287819,1
control_pseudo_0,iMO,2,control,0.004000075,0.11120117310280869,-0.04826090463993596,-0.14641889043107503,1
control_pseudo_0,iMS,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iMS,1,control,0.00207723,0.19784311071721916,0.19784311071721916,0.21752255952900215,1
control_pseudo_0,iMS,2,control,0.0,0.0,-0.19784311071721916,-0.6135219734254534,0
control_pseudo_0,iMamm,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iMamm,1,control,0.00692165,0.6475882619255929,0.6475882619255929,2.106687402214445,1
control_pseudo_0,iMamm,2,control,0.000688255,0.06439300733374254,-0.5831952545918504,-0.3430376663843522,1
control_pseudo_0,iPAG,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iPAG,1,control,0.001646583,0.33542994484977917,0.33542994484977917,0.7954592180149521,1
control_pseudo_0,iPAG,2,control,0.000950104,0.19354829505804114,-0.14188164979173803,0.199482087658801,1
control_pseudo_0,iPMCo,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iPMCo,1,control,0.0677284,0.15174716125471238,0.15174716125471238,0.023895464537985914,1
control_pseudo_0,iPMCo,2,control,0.00137832,0.003088160170631451,-0.14865900108408092,-0.6005500856635431,0
control_pseudo_0,iPRh,0,control,0.001381788,0.011839392505126549,0.0,-0.5637903331412965,0
control_pseudo_0,iPRh,1,control,0.053257328,0.6708790561208211,0.6590396636156945,2.2045209184483117,1
control_pseudo_0,iPRh,2,control,0.023674163,0.2950472265092626,-0.37583182961155853,0.6258306816405234,1
control_pseudo_0,iPS,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,iPS,1,control,0.00526039,0.6666507830517173,0.6666507830517173,2.18675996025685,1
